FIRE_NUM, XStart, YStart, FireSize
0, 378233.019610, 5725853.244849, 152.809968
1, 373310.062307, 5728541.667031, 100.127101
2, 376221.494006, 5727326.360656, 79.172564
3, 377867.006038, 5727295.528561, 54.560868
4, 381201.338632, 5727748.166233, 108.627526
5, 381753.020079, 5729091.002901, 62.468240
6, 375854.805337, 5729441.941579, 70.573297
7, 378844.135701, 5728870.187847, 79.073722
8, 381611.792665, 5730873.517242, 3.953686
9, 378779.725406, 5729798.954019, 45.763917
10, 378495.027590, 5729768.411411, 59.008765
11, 381291.551025, 5727422.771275, 12.750638
12, 378558.469463, 5728190.869881, 42.897494
13, 374083.064023, 5731351.150575, 29.356119
14, 377154.650425, 5727861.451191, 96.766467
15, 372895.023270, 5730155.469744, 40.624125
16, 379363.294510, 5725204.705723, 30.641067
17, 375198.139957, 5728486.257490, 94.295414
18, 374928.316011, 5729952.476612, 61.380977
19, 380875.626691, 5729873.404106, 49.519918
20, 379721.101998, 5726926.877278, 104.080787
21, 376040.691458, 5728691.112272, 109.121737
22, 381151.613912, 5726136.024918, 7.808530
23, 377777.588683, 5732449.688544, 71.957087
24, 376032.815449, 5731171.204987, 58.613397
25, 380814.710807, 5729662.657844, 76.108458
26, 375960.299881, 5726678.782536, 59.107607
27, 380506.432950, 5729859.306109, 65.038136
28, 372537.436691, 5729939.469754, 37.065807
29, 378166.094339, 5726034.944505, 138.181329
30, 374243.429534, 5731806.975021, 26.094328
31, 381266.807138, 5729796.179391, 54.066657
32, 376902.415726, 5726726.845133, 74.230457
33, 372290.112600, 5731585.923342, 0.593053
34, 373327.365284, 5729653.154014, 90.934780
35, 376711.669269, 5727704.977159, 56.933080
36, 372846.214589, 5727220.350858, 57.921501
37, 374789.695238, 5729552.269440, 56.043501
38, 377072.373027, 5727235.698672, 63.357820
39, 373763.960039, 5730073.473794, 51.397919
40, 376116.202174, 5731674.589292, 35.682017
41, 380344.894852, 5726817.796774, 70.375613
42, 374992.194344, 5727048.330922, 102.795839
43, 378460.002916, 5729336.877155, 23.524432
44, 377475.323738, 5727948.904905, 53.868973
45, 372523.293672, 5731005.339639, 2.075685
46, 374355.204066, 5724707.039138, 5.139792
47, 376562.643491, 5729291.994011, 65.235821
48, 380181.470821, 5724646.310751, 18.681167
49, 377833.374185, 5727276.560951, 66.026558
50, 377023.288702, 5728879.560576, 43.589389
51, 372072.102144, 5729796.109088, 15.617060
52, 379249.700770, 5731042.488181, 0.098842
53, 375939.132739, 5727070.354834, 66.026558
54, 380563.549671, 5728193.014291, 68.892980
55, 381906.203534, 5729068.742837, 38.647282
56, 372441.899457, 5729276.156685, 91.132465
57, 379086.838373, 5724397.453549, 28.466540
58, 377591.291667, 5729127.470216, 52.089814
59, 373763.957636, 5730479.572425, 66.323084
60, 374534.249134, 5731460.611609, 37.362334
61, 380319.491068, 5727126.618575, 83.521619
62, 375434.705465, 5731150.225967, 45.269706
63, 374913.363184, 5730580.976069, 24.908222
64, 377863.152863, 5728140.094460, 76.602668
65, 377947.582063, 5729782.817325, 39.141492
66, 380214.414929, 5730521.056238, 11.663374
67, 380512.105357, 5726932.820270, 75.811931
68, 379959.022274, 5729917.297214, 64.049715
69, 373384.134557, 5726180.987586, 5.337476
70, 381351.268045, 5728468.372038, 125.430692
71, 374243.320346, 5728981.514928, 34.990122
72, 378366.462126, 5727025.872952, 55.450448
73, 374399.964600, 5727816.204935, 22.437169
74, 375986.434554, 5729573.215301, 36.966965
75, 374887.899119, 5727585.738048, 94.690782
76, 373763.833356, 5729571.454632, 84.213514
77, 380982.349389, 5728411.729179, 96.173415
78, 376826.720068, 5729944.584639, 43.688231
79, 373786.930362, 5727530.575350, 98.545626
80, 373916.404074, 5724751.912605, 13.541375
81, 372823.852224, 5728272.758732, 35.484333
82, 375908.292298, 5728822.600311, 109.220579
83, 379018.733125, 5732201.201562, 54.659710
84, 376943.911596, 5724760.102111, 29.356119
85, 375179.763602, 5729511.890211, 62.369398
86, 380938.161125, 5728571.318279, 122.465427
