"","plot_id","tree_id","spp","circum","tree_height","base_height","crown_class","DBH"
"1",54,1,"Be",30,6,5,"C",10
"2",54,2,"Be",35,6,5,"C",11
"3",54,3,"Be",34,6,5,"C",11
"4",54,4,"Be",35,6,5,"C",11
"5",54,5,"Be",28,6,5,"C",9
"6",54,6,"Be",29,6,5,"C",9
"7",54,7,"Be",30,6,5,"C",10
"8",54,8,"Be",41,6,5,"C",13
"9",54,9,"Be",35,6,5,"C",11
"10",54,10,"Be",26,6,5,"C",8
"11",54,11,"Be",22,6,5,"C",7
"12",54,12,"Be",23,6,5,"C",7
"13",54,13,"Be",30,6,5,"C",10
"14",54,14,"Be",23,6,5,"C",7
"15",54,15,"Be",30,6,5,"C",10
"16",54,16,"Be",35,6,5,"C",11
"17",54,17,"Be",34,6,5,"C",11
"18",54,18,"Be",35,6,5,"C",11
"19",54,19,"Be",28,6,5,"C",9
"20",54,20,"Be",29,6,5,"C",9
"21",54,21,"Be",30,6,5,"C",10
"22",54,22,"Be",41,6,5,"C",13
"23",54,23,"Be",35,6,5,"C",11
"24",54,24,"Be",26,6,5,"C",8
"25",54,25,"Be",22,6,5,"C",7
"26",54,26,"Be",23,6,5,"C",7
"27",54,27,"Be",30,6,5,"C",10
"28",54,28,"Be",23,6,5,"C",7
"29",54,29,"Pi",270,38,6,"D",86
"30",90,1,"RO",136,27,8,"C",43
"31",90,2,"RO",112,25,6,"C",36
"32",90,3,"RO",153,26,17,"C",49
"33",74,1,"RO",135,29,9,"C",43
"34",74,2,"RO",160,30,13,"C",51
"35",74,3,"RO",128,29,5,"C",41
"36",74,4,"RO",123,28,5,"C",39
"37",74,5,"RO",134,29,5,"C",43
"38",39,1,"Be",22,7,6,"C",7
"39",39,2,"Be",23,7,6,"C",7
"40",39,3,"Be",24,7,6,"C",8
"41",39,4,"Be",24,7,6,"C",8
"42",39,5,"Be",23,7,6,"C",7
"43",39,6,"Be",25,7,6,"C",8
"44",39,7,"Be",40,7,6,"C",13
"45",39,8,"Be",41,7,6,"C",13
"46",39,9,"Be",35,7,6,"C",11
"47",39,10,"Be",36,7,6,"C",11
"48",39,11,"Be",29,7,6,"C",9
"49",39,12,"Be",30,7,6,"C",10
"50",39,13,"Be",44,7,6,"C",14
"51",39,14,"Be",35,7,6,"C",11
"52",39,15,"Be",31,7,6,"C",10
"53",39,16,"Be",28,7,6,"C",9
"54",39,17,"Be",43,7,6,"C",14
"55",39,18,"Be",33,7,6,"C",11
"56",39,19,"Be",26,7,6,"C",8
"57",39,20,"Be",40,7,6,"C",13
"58",39,21,"Be",34,7,6,"C",11
"59",39,22,"Be",39,7,6,"C",12
"60",39,23,"Be",31,7,6,"C",10
"61",39,24,"Be",28,7,6,"C",9
"62",39,25,"Be",32,7,6,"C",10
"63",39,26,"Be",27,7,6,"C",9
"64",39,27,"Be",22,7,6,"C",7
"65",39,28,"Be",23,7,6,"C",7
"66",39,29,"Be",24,7,6,"C",8
"67",39,30,"Be",24,7,6,"C",8
"68",39,31,"Be",23,7,6,"C",7
"69",39,32,"Be",25,7,6,"C",8
"70",39,33,"Be",40,7,6,"C",13
"71",39,34,"Be",41,7,6,"C",13
"72",39,35,"Be",35,7,6,"C",11
"73",39,36,"Be",36,7,6,"C",11
"74",39,37,"Be",29,7,6,"C",9
"75",39,38,"Be",30,7,6,"C",10
"76",39,39,"Be",44,7,6,"C",14
"77",39,40,"Be",35,7,6,"C",11
"78",39,41,"Be",31,7,6,"C",10
"79",39,42,"Be",28,7,6,"C",9
"80",39,43,"Be",43,7,6,"C",14
"81",39,44,"Be",33,7,6,"C",11
"82",39,45,"Be",26,7,6,"C",8
"83",39,46,"Be",40,7,6,"C",13
"84",39,47,"Be",34,7,6,"C",11
"85",39,48,"Be",39,7,6,"C",12
"86",39,49,"Be",31,7,6,"C",10
"87",39,50,"Be",28,7,6,"C",9
"88",39,51,"Be",32,7,6,"C",10
"89",39,52,"Be",27,7,6,"C",9
"90",39,53,"Be",22,7,6,"C",7
"91",39,54,"Be",23,7,6,"C",7
"92",39,55,"Be",24,7,6,"C",8
"93",39,56,"Be",24,7,6,"C",8
"94",39,57,"Be",23,7,6,"C",7
"95",39,58,"Be",25,7,6,"C",8
"96",39,59,"Be",40,7,6,"C",13
"97",39,60,"Be",41,7,6,"C",13
"98",39,61,"Be",35,7,6,"C",11
"99",39,62,"Be",36,7,6,"C",11
"100",39,63,"Be",29,7,6,"C",9
"101",39,64,"Be",30,7,6,"C",10
"102",39,65,"Be",44,7,6,"C",14
"103",39,66,"Be",35,7,6,"C",11
"104",39,67,"Be",31,7,6,"C",10
"105",39,68,"Be",28,7,6,"C",9
"106",39,69,"Be",43,7,6,"C",14
"107",39,70,"Be",33,7,6,"C",11
"108",39,71,"Be",26,7,6,"C",8
"109",39,72,"Be",40,7,6,"C",13
"110",39,73,"Be",34,7,6,"C",11
"111",39,74,"Be",39,7,6,"C",12
"112",39,75,"Be",31,7,6,"C",10
"113",39,76,"Be",28,7,6,"C",9
"114",39,77,"Be",32,7,6,"C",10
"115",39,78,"Be",27,7,6,"C",9
"116",39,79,"Be",35,7,6,"C",11
"117",39,80,"Be",36,7,6,"C",11
"118",39,81,"Be",29,7,6,"C",9
"119",39,82,"Be",30,7,6,"C",10
"120",39,83,"Be",44,7,6,"C",14
"121",39,84,"Be",35,7,6,"C",11
"122",39,85,"Be",31,7,6,"C",10
"123",39,86,"Be",28,7,6,"C",9
"124",39,87,"Be",43,7,6,"C",14
"125",39,88,"Be",33,7,6,"C",11
"126",39,89,"Be",22,7,6,"C",7
"127",39,90,"Be",23,7,6,"C",7
"128",34,1,"Be",35,6,5,"S",11
"129",34,2,"Pi",105,26,23,"C",33
"130",34,3,"Pi",105,26,22,"C",33
"131",34,4,"Pi",116,27,24,"C",37
"132",34,5,"Pi",197,28,19,"D",63
"133",34,6,"Pi",42,6,1,"S",13
"134",34,7,"Pi",35,5,1,"S",11
"135",34,8,"Pi",40,6,1,"S",13
"136",34,9,"Pi",37,5,1,"S",12
"137",34,10,"Pi",89,26,23,"C",28
"138",34,11,"Pi",98,26,22,"C",31
"139",34,12,"Pi",206,28,20,"C",66
"140",37,1,"Be",50,12,10,"C",16
"141",37,2,"Be",54,12,10,"C",17
"142",37,3,"Be",42,12,10,"C",13
"143",37,4,"Be",23,12,10,"C",7
"144",37,5,"Be",25,12,10,"C",8
"145",37,6,"Be",24,12,10,"C",8
"146",37,7,"Be",28,12,10,"C",9
"147",37,8,"Be",69,12,10,"C",22
"148",37,9,"Be",33,12,10,"C",11
"149",37,10,"Be",50,12,10,"C",16
"150",37,11,"Be",38,12,10,"C",12
"151",37,12,"Be",57,12,10,"C",18
"152",37,13,"Be",50,12,10,"C",16
"153",37,14,"Be",23,12,10,"C",7
"154",37,15,"Be",40,12,10,"C",13
"155",37,16,"Be",47,12,10,"C",15
"156",37,17,"Be",55,12,10,"C",18
"157",37,18,"Be",52,12,10,"C",17
"158",37,19,"Be",40,12,10,"C",13
"159",37,20,"Be",41,12,10,"C",13
"160",37,21,"Be",43,12,10,"C",14
"161",37,22,"Be",51,12,10,"C",16
"162",37,23,"Be",43,12,10,"C",14
"163",37,24,"Be",51,12,10,"C",16
"164",37,25,"Be",36,12,10,"C",11
"165",37,26,"Be",31,12,10,"C",10
"166",37,27,"Be",50,12,10,"C",16
"167",37,28,"Be",54,12,10,"C",17
"168",37,29,"Be",42,12,10,"C",13
"169",37,30,"Be",23,12,10,"C",7
"170",37,31,"Be",25,12,10,"C",8
"171",37,32,"Be",24,12,10,"C",8
"172",37,33,"Be",28,12,10,"C",9
"173",37,34,"Be",69,12,10,"C",22
"174",37,35,"Be",33,12,10,"C",11
"175",37,36,"Be",50,12,10,"C",16
"176",37,37,"Be",38,12,10,"C",12
"177",37,38,"Be",57,12,10,"C",18
"178",37,39,"Be",50,12,10,"C",16
"179",37,40,"Be",23,12,10,"C",7
"180",37,41,"Be",40,12,10,"C",13
"181",37,42,"Be",47,12,10,"C",15
"182",37,43,"Be",55,12,10,"C",18
"183",37,44,"Be",52,12,10,"C",17
"184",37,45,"Be",40,12,10,"C",13
"185",37,46,"Be",41,12,10,"C",13
"186",37,47,"Be",43,12,10,"C",14
"187",37,48,"Be",51,12,10,"C",16
"188",37,49,"Be",43,12,10,"C",14
"189",37,50,"Be",51,12,10,"C",16
"190",37,51,"Be",36,12,10,"C",11
"191",37,52,"Be",31,12,10,"C",10
"192",9,1,"Pi",166,32,21,"C",53
"193",9,2,"RO",60,9,2,"S",19
"194",9,3,"Bi",35,13,4,"S",11
"195",9,4,"Be",42,11,4,"S",13
"196",9,5,"Bi",37,16,5,"S",12
"197",9,6,"Pi",216,36,28,"D",69
"198",9,7,"Bi",46,15,3,"S",15
"199",9,8,"Bi",36,13,2,"S",11
"200",9,9,"Pi",135,35,27,"C",43
"201",9,10,"Bi",40,11,3,"S",13
"202",9,11,"Pi",148,33,28,"C",47
"203",9,12,"Pi",186,34,27,"C",59
"204",59,1,"Be",56,11,4,"C",18
"205",59,2,"Be",22,11,4,"C",7
"206",59,3,"Be",22,11,4,"C",7
"207",59,4,"Be",41,11,4,"C",13
"208",59,5,"Be",38,11,4,"C",12
"209",59,6,"Be",25,11,4,"C",8
"210",59,7,"Be",53,11,4,"C",17
"211",59,8,"Be",42,11,4,"C",13
"212",59,9,"Be",24,11,4,"C",8
"213",59,10,"Be",22,11,4,"C",7
"214",59,11,"Be",36,11,4,"C",11
"215",59,12,"Be",25,11,4,"C",8
"216",59,13,"Be",53,11,4,"C",17
"217",59,14,"Be",50,11,4,"C",16
"218",59,15,"Be",42,11,4,"C",13
"219",59,16,"Be",45,11,4,"C",14
"220",59,17,"Be",34,11,4,"C",11
"221",59,18,"Be",43,11,4,"C",14
"222",59,19,"Be",39,11,4,"C",12
"223",59,20,"Be",28,11,4,"C",9
