PlotID, preCFL, postCFL, preCBD, postCBD, preCBH, postCBH, preSH, postSH, preTD, postTD, preSDI, postSDI, preCC, postCC, preBA, postBA, preQMD, postQMD, preQ75, postQ75, preTORI, postTORI, preCRNI, postCRNI, stdCubicFt, HarCubicFt, stdMCFt, HarMCFt, stdMBFt, HarMBFt, preFueMod, postFueMod
 Units, T/ac,  T/ac,  kg/m3,   kg/m3,     ft,      ft,    ft,     ft,    tpa,     tpa,    tpa,     tpa, percent,percent,ft2/ac, ft2/ac,     in,      in,     in,      in,   mi/hr,    mi/hr,   mi/hr,    mi/hr,    ft3/ac,     ft3/ac,  ft3/ac,  ft3/ac,   ft/ac,   ft/ac,      code,       code
54-Inventory,   1.67,   1.67,  0.104,  0.104,  14.00,  14.00,  26.00,  26.00, 377.00, 377.00, 170.05, 170.05,   61.44,  61.44, 111.04, 111.04,   7.35,   7.35,  25.77,  25.77,    100,    100,     27,     27, 4353.11,   0.00, 3738.80,   0.00,  25220.00,   0.00, NB9, NB9 
90-Inventory,   1.47,   1.47,  0.022,  0.022,  21.00,  21.00,  89.00,  89.00,  39.00,  39.00,  89.20,  89.20,   41.71,  41.71,  59.98,  59.98,  16.79,  16.79,  18.03,  18.03,    100,    100,     80,     80, 1593.52,   0.00, 1547.00,   0.00,  8021.00,   0.00, NB9, NB9 
74-Inventory,   3.16,   3.16,  0.033,  0.033,  17.00,  17.00,  98.00,  98.00,  65.00,  65.00, 153.04, 153.04,   60.44,  60.44, 103.45, 103.45,  17.08,  17.08,  17.80,  17.80,    100,    100,     61,     61, 3042.17,   0.00, 2945.80,   0.00,  15782.00,   0.00, NB9, NB9 
39-Inventory,   2.97,   2.97,  0.325,  0.325,  15.00,  15.00,  28.00,  28.00, 936.00, 936.00, 219.75, 219.75,   89.41,  89.41,  85.37,  85.37,   4.09,   4.09,   4.58,   4.58,    100,    100,     12,     12, 851.50,   0.00, 162.50,   0.00,    0.00,   0.00, NB9, NB9 
34-Inventory,   2.54,   2.54,  0.143,  0.143,  69.00,  69.00,  92.00,  92.00, 156.00, 156.00, 232.73, 232.73,   34.50,  34.50, 158.54, 158.54,  13.65,  13.65,  20.71,  20.71,    100,    100,     21,     21, 5853.46,   0.00, 5250.70,   0.00,  28730.00,   0.00, NB9, NB9 
37-Inventory,   2.79,   2.79,  0.267,  0.267,  29.00,  29.00,  45.00,  45.00, 546.00, 546.00, 200.22, 200.22,   81.58,  81.58,  88.13,  88.13,   5.44,   5.44,   6.41,   6.41,    100,    100,     13,     13, 1457.30,   0.00, 959.40,   0.00,  390.00,   0.00, NB9, NB9 
9-Inventory,   2.80,   2.80,  0.091,  0.091,  17.00,  17.00, 118.00, 118.00, 156.00, 156.00, 258.05, 258.05,   46.73,  46.73, 181.87, 181.87,  14.62,  14.62,  22.97,  22.97,    100,    100,     30,     30, 8081.78,   0.00, 7485.40,   0.00,  44356.00,   0.00, NB9, NB9 
59-Inventory,   3.96,   3.96,  0.126,  0.126,  14.00,  14.00,  36.00,  36.00, 936.00, 936.00, 287.33, 287.33,   92.37,  92.37, 123.09, 123.09,   4.91,   4.91,   6.27,   6.27,    100,    100,     23,     23, 1799.20,   0.00, 1019.20,   0.00,  546.00,   0.00, NB9, NB9 
7-Inventory,   2.66,   2.66,  0.116,  0.116,  58.00,  58.00,  88.00,  88.00, 117.00, 117.00, 212.59, 212.59,   31.23,  31.23, 136.35, 136.35,  14.62,  14.62,  16.37,  16.37,    100,    100,     25,     25, 4871.62,   0.00, 4423.90,   0.00,  22620.00,   0.00, NB9, NB9 
