plot_id,old_plot_id,dom_spp,mgmt,cl,lon,lat
1,101,Pi,Con,3,7.213793,51.68802
2,102,Pi,Con,3,7.171319,51.68255
3,103,Pi,Con,5,7.199208,51.72149
4,105,Pi,Con,5,7.197337,51.72171
5,106,Pi,Con,2,7.180637,51.714
6,107,Pi,Con,5,7.192221,51.72093
7,108,Pi,Con,4,7.179274,51.72247
8,109,Pi,Con,3,7.188828,51.71051
9,111,Pi,Con,5,7.165234,51.69506
10,112,Pi,Nat,1,7.198376,51.6813
11,113,Pi,Con,2,7.1751,51.71038
12,114,Pi,Con,1,7.193416,51.70848
13,115,Pi,Con,5,7.167092,51.68735
14,116,Pi,Con,1,7.173413,51.69364
15,118,Pi,Con,4,7.182304,51.71397
16,119,Pi,Con,4,7.171359,51.69862
17,121,Pi,Con,2,7.16753,51.68293
18,122,Pi,Con,5,7.173911,51.67916
19,124,Pi,Con,2,7.165887,51.70011
20,125,Pi,Nat,1,7.191345,51.71903
21,126,Pi,Con,4,7.194127,51.71736
22,127,Pi,Nat,4,7.198386,51.67992
23,128,Pi,Con,5,7.16025,51.6844
24,129,Pi,Nat,1,7.19635,51.68536
25,130,Pi,Con,4,7.175795,51.71001
26,132,Pi,Con,4,7.166213,51.68858
27,134,Pi,Con,5,7.176747,51.70384
28,136,Pi,Con,5,7.179128,51.704
29,137,Pi,Con,3,7.188629,51.71075
30,138,Pi,Con,4,7.183496,51.70292
31,139,Pi,Con,5,7.192613,51.72227
32,141,Pi,Con,4,7.170481,51.68427
33,146,Pi,Con,4,7.179045,51.7029
34,150,Pi,Con,5,7.170465,51.69885
35,201,Be,Con,3,7.155117,51.69413
36,202,RO,Con,4,7.159213,51.69262
37,208,Be,Con,1,7.171428,51.69557
38,209,Be,Con,1,7.172439,51.69536
39,210,Be,Con,2,7.171892,51.7155
40,211,Be,Con,3,7.175688,51.69368
41,212,Be,Con,3,7.175076,51.69669
42,214,Be,Con,3,7.18203,51.70565
43,215,Be,Con,3,7.18377,51.67808
44,217,Be,Con,3,7.184035,51.70457
45,218,Be,Con,3,7.184593,51.70388
46,219,Be,Con,5,7.185847,51.68051
47,221,Be,Con,4,7.186425,51.68097
48,222,Be,Con,3,7.186038,51.70354
49,223,Be,Con,3,7.186899,51.7004
50,224,Be,Con,1,7.186292,51.71292
51,225,Be,Con,1,7.18754,51.69938
52,227,Be,Con,3,7.187724,51.72043
53,228,Be,Con,4,7.188634,51.70046
54,229,Be,Con,1,7.188364,51.70534
55,232,Be,Con,4,7.18932,51.72036
56,234,Pi,Nat,5,7.190896,51.71803
57,235,Be,Con,3,7.192433,51.7157
58,236,Be,Con,5,7.195222,51.67853
59,237,Be,Con,5,7.193694,51.7207
60,238,Be,Con,3,7.195619,51.67891
61,239,Be,Con,3,7.195803,51.67585
62,241,Be,Con,4,7.195799,51.71897
63,242,Be,Con,4,7.196175,51.72663
64,243,Be,Con,4,7.197129,51.71378
65,244,Be,Con,4,7.198208,51.71354
66,245,Be,Con,5,7.198299,51.71295
67,246,Be,Con,3,7.205642,51.68814
68,247,Be,Con,3,7.206524,51.6882
69,248,Be,Con,3,7.207867,51.68652
70,249,Be,Con,2,7.20808,51.68674
71,301,RO,Con,1,7.209243,51.68735
72,302,RO,Con,2,7.16913,51.70019
73,303,RO,Con,4,7.176507,51.69811
74,304,RO,Con,5,7.172911,51.70832
75,305,RO,Con,2,7.181339,51.69963
76,306,RO,Con,2,7.15225,51.7005
77,307,RO,Con,4,7.168842,51.71441
78,308,RO,Con,5,7.178999,51.6981
79,309,RO,Con,2,7.170851,51.69995
80,310,RO,Con,3,7.152677,51.7009
81,311,RO,Con,4,7.157661,51.68884
82,312,RO,Con,2,7.197316,51.70999
83,314,RO,Con,2,7.186395,51.71078
84,315,RO,Con,4,7.175405,51.69488
85,316,RO,Con,4,7.157269,51.68672
86,318,RO,Con,1,7.173822,51.69908
87,321,RO,Con,2,7.19592,51.71025
88,322,RO,Con,2,7.200103,51.7243
89,324,RO,Con,4,7.159985,51.70004
90,326,RO,Con,1,7.172672,51.70814
91,328,RO,Con,4,7.189239,51.69772
92,331,RO,Con,2,7.183248,51.67397
93,332,Be,Con,5,7.157066,51.69249
94,334,RO,Con,2,7.184194,51.69797
95,335,Pi,Con,2,7.19802,51.6778
96,336,RO,Con,3,7.179068,51.71185
97,337,RO,Con,4,7.174888,51.70715
98,338,RO,Con,4,7.187353,51.69834
99,340,RO,Con,2,7.186964,51.71027
100,341,RO,Con,2,7.182713,51.71015
101,342,RO,Con,3,7.172384,51.7073
102,343,RO,Con,4,7.184357,51.69846
103,344,RO,Con,3,7.210308,51.68944
104,347,RO,Con,4,7.183427,51.69938
105,348,RO,Con,4,7.209817,51.68709
106,349,RO,Con,3,7.175914,51.69833
107,350,RO,Con,1,7.17879,51.69839
108,401,Pi,Nat,4,7.209101,51.72064
109,403,Pi,Nat,4,7.22574,51.68393
110,404,Pi,Nat,5,7.248709,51.69493
111,405,Pi,Nat,4,7.204957,51.71724
112,406,Pi,Nat,2,7.226154,51.71059
113,407,Pi,Nat,3,7.20061,51.69154
114,408,Pi,Nat,3,7.201845,51.69171
115,409,Pi,Nat,2,7.198691,51.70036
116,411,Pi,Nat,1,7.218448,51.68987
117,415,Pi,Nat,4,7.227431,51.6873
118,416,Pi,Nat,3,7.203281,51.69642
119,417,Pi,Nat,2,7.203251,51.69618
120,418,Pi,Nat,5,7.242914,51.69079
121,420,Pi,Nat,4,7.239374,51.69029
122,421,Pi,Nat,2,7.208681,51.71825
123,422,Pi,Nat,3,7.208272,51.71257
124,423,Pi,Nat,3,7.209093,51.69628
125,425,Pi,Nat,3,7.211601,51.69955
126,426,Pi,Nat,2,7.216938,51.69
127,427,Pi,Nat,4,7.245054,51.69113
128,428,Pi,Nat,2,7.197561,51.69097
129,429,Pi,Nat,2,7.215169,51.69618
130,432,Pi,Nat,1,7.226677,51.68869
131,433,Pi,Nat,2,7.20529,51.69361
132,436,Pi,Nat,3,7.209237,51.69552
133,437,Pi,Nat,1,7.211738,51.69359
134,439,Pi,Nat,3,7.232914,51.68675
135,440,Pi,Nat,1,7.213418,51.70647
136,441,Pi,Nat,2,7.217321,51.68967
137,442,Pi,Nat,1,7.194464,51.69166
138,444,Pi,Nat,2,7.235434,51.68995
139,447,Pi,Nat,4,7.248425,51.69689
140,449,Pi,Nat,4,7.20394,51.69403
141,450,Pi,Nat,4,7.244537,51.69394
142,501,Pi,Nat,3,7.194263,51.68854
143,502,Be,Nat,3,7.208132,51.70834
144,503,Be,Nat,3,7.210646,51.70583
145,504,Be,Nat,5,7.231468,51.69741
146,505,Be,Nat,4,7.211089,51.70528
147,506,Be,Nat,5,7.237184,51.69916
148,507,Be,Nat,5,7.237227,51.68823
149,509,Be,Nat,3,7.211124,51.70713
150,510,Be,Nat,4,7.228536,51.70216
151,512,Be,Nat,1,7.218696,51.70386
152,513,Be,Nat,5,7.233745,51.69023
153,516,Be,Nat,4,7.23023,51.69311
154,517,Be,Nat,4,7.227322,51.70239
155,518,Be,Nat,3,7.208774,51.70788
156,519,Be,Nat,3,7.205696,51.7045
157,520,Be,Nat,4,7.226007,51.70229
158,523,Be,Nat,3,7.243665,51.68975
159,526,Be,Nat,4,7.213118,51.70075
160,527,Be,Nat,4,7.210723,51.7055
161,528,Be,Nat,3,7.227005,51.70193
162,529,Be,Nat,3,7.201873,51.71666
163,530,Be,Nat,5,7.218854,51.70467
164,531,Be,Nat,3,7.218931,51.70486
165,532,Be,Nat,4,7.244613,51.70186
166,536,Be,Nat,4,7.211218,51.70511
167,537,Be,Nat,5,7.232505,51.69046
168,538,Be,Nat,4,7.229819,51.71055
169,539,Be,Nat,4,7.229263,51.69895
170,541,Be,Nat,5,7.208967,51.71942
171,542,Be,Nat,4,7.236028,51.70002
172,543,Be,Nat,5,7.211958,51.70191
173,546,Be,Nat,4,7.23585,51.69957
174,547,Be,Nat,2,7.238037,51.68831
175,549,Be,Nat,3,7.205899,51.70439
176,601,RO,Nat,4,7.18903,51.68773
177,602,RO,Nat,4,7.227512,51.68613
178,603,RO,Nat,4,7.193049,51.69601
179,604,RO,Nat,4,7.198484,51.70824
180,605,Be,Nat,4,7.246156,51.70158
181,610,RO,Nat,1,7.247943,51.69338
182,611,Be,Nat,3,7.245718,51.6997
183,612,RO,Nat,4,7.191378,51.69356
184,613,RO,Nat,3,7.212656,51.70053
185,614,RO,Nat,4,7.194655,51.69733
186,616,RO,Nat,3,7.22788,51.69372
187,617,RO,Nat,3,7.204482,51.70588
188,618,RO,Nat,3,7.220995,51.69575
189,619,RO,Nat,3,7.228972,51.68538
190,620,RO,Nat,3,7.211881,51.69835
191,621,RO,Nat,3,7.224344,51.69372
192,623,RO,Nat,4,7.229882,51.69472
193,624,RO,Nat,3,7.230778,51.69366
194,625,Be,Nat,4,7.238854,51.70254
195,626,RO,Nat,2,7.219019,51.69086
196,627,RO,Nat,3,7.200525,51.70919
197,628,RO,Nat,4,7.252939,51.69329
198,629,RO,Nat,2,7.187536,51.68778
199,630,RO,Nat,2,7.243474,51.69192
200,631,RO,Nat,3,7.190515,51.68744
201,632,RO,Nat,3,7.186712,51.68825
202,634,RO,Nat,3,7.229123,51.68894
203,637,RO,Nat,4,7.22581,51.69033
204,638,RO,Nat,1,7.204838,51.70523
205,639,RO,Nat,3,7.242944,51.69184
206,640,RO,Nat,1,7.220213,51.69781
207,641,RO,Nat,3,7.1903,51.69535
208,643,RO,Nat,2,7.216769,51.69621
209,646,RO,Nat,4,7.22507,51.6935
